#graph,cycle length=3,cycle length=4,cycle length=5,cycle length=6,cycle length=7,cycle length=8,cycle length=9,cycle length=10,# nodes,# edges,max degree,y
158,16,26,38,49,56,42,16,0,12,25,7,4
159,28,45,49,37,20,18,10,2,22,48,7,4
160,10,33,42,24,6,4,4,0,22,42,6,4
161,18,17,10,5,0,0,0,0,18,32,5,4
162,13,13,9,6,2,0,0,0,12,22,5,4
163,25,38,46,54,50,32,16,0,17,36,7,4
164,15,14,9,8,7,6,5,4,14,26,5,4
165,9,7,2,0,0,0,0,0,22,36,5,4
166,54,91,136,197,218,305,329,193,43,94,7,4
167,14,36,68,98,85,110,78,21,42,84,6,4
168,25,49,62,229,334,473,210,66,44,94,6,4
169,13,13,13,8,2,0,0,0,24,41,5,4
170,15,47,49,96,129,252,379,370,48,99,7,4
171,18,20,20,17,13,14,16,12,25,46,5,4
172,15,38,52,195,296,432,211,68,46,96,6,4
173,15,49,45,99,98,191,245,232,48,98,6,4
174,15,9,1,0,0,0,0,0,25,43,6,4
175,16,28,42,88,130,198,228,168,48,96,6,4
176,14,48,92,243,337,624,448,180,44,96,8,4
177,25,43,60,210,335,620,328,160,42,88,6,4
178,7,18,11,5,0,0,0,0,40,59,7,4
179,5,22,11,5,0,0,0,0,38,60,7,4
180,19,36,57,84,113,161,225,95,40,81,7,4
181,21,33,60,106,151,204,197,70,41,86,6,4
182,33,53,82,315,624,1372,1497,538,42,94,6,4
183,30,52,107,345,684,1300,1026,372,40,91,6,4
184,30,40,70,207,385,704,748,289,44,95,6,4
185,12,16,6,13,8,8,0,8,24,40,5,4
186,19,49,75,214,343,624,448,180,44,94,6,4
187,20,30,42,60,74,82,62,52,20,39,5,4
188,28,42,60,104,124,34,82,18,42,95,7,4
189,21,15,1,0,0,0,0,0,27,49,6,4
190,20,47,72,104,84,109,170,158,48,96,6,4
191,27,34,30,36,32,26,20,9,31,66,6,4
192,13,15,20,27,34,41,33,11,30,60,6,4
193,26,73,131,198,244,376,413,105,46,100,6,4
194,23,39,33,36,68,136,271,169,47,92,7,4
195,17,23,34,19,27,30,40,21,50,86,8,4
196,24,51,70,127,210,400,730,636,40,77,7,4
197,2,4,3,3,0,0,1,0,55,77,5,4
198,8,29,12,46,23,72,33,31,62,108,6,4
199,24,34,49,56,36,13,0,0,34,72,6,4
200,19,15,4,2,0,0,0,0,29,53,5,0
201,19,17,8,5,4,2,0,0,25,45,5,0
202,28,31,22,35,78,169,293,324,56,100,6,0
203,34,38,22,37,90,178,264,294,57,105,6,0
204,24,51,115,263,383,659,993,273,27,61,6,0
205,20,23,25,31,35,42,27,19,22,43,6,0
206,18,16,7,4,2,0,0,0,24,43,5,0
207,31,48,72,153,337,702,1244,1364,23,50,7,0
208,26,27,16,25,53,102,182,223,57,101,6,0
209,31,37,42,68,115,174,232,278,24,50,6,0
210,27,40,56,110,199,360,362,284,24,50,7,0
211,28,37,45,65,105,173,261,261,23,47,7,0
212,24,46,111,232,393,627,894,616,25,55,7,0
213,30,69,144,229,286,333,338,235,23,51,8,0
214,26,47,74,175,344,617,745,177,48,104,7,0
215,11,9,5,4,2,0,0,0,27,47,6,0
216,18,38,69,133,247,441,684,451,15,34,6,0
217,25,41,62,91,106,176,185,69,44,97,8,0
218,30,55,88,186,395,757,1094,745,29,64,7,0
219,19,22,17,12,11,10,8,4,21,41,6,0
220,12,17,15,21,2,18,2,4,34,63,6,0
221,11,13,28,46,82,153,143,62,30,57,5,0
222,18,15,4,0,0,0,0,0,40,79,6,0
223,34,28,27,57,96,130,226,207,54,105,8,0
224,19,26,27,32,36,38,35,27,18,35,5,0
225,31,38,38,57,112,151,133,75,36,74,7,0
226,32,54,77,158,314,364,278,191,37,81,7,0
227,33,53,97,245,539,698,433,297,34,76,7,0
228,29,41,65,122,227,358,452,231,23,50,7,0
229,29,37,52,82,123,84,0,0,32,68,7,0
230,32,53,91,179,365,697,1022,693,33,76,6,0
231,27,43,68,116,200,316,340,192,29,65,6,0
232,16,16,15,11,8,7,12,6,39,71,8,0
233,16,36,48,63,79,83,72,24,34,70,6,0
234,22,22,26,32,24,44,4,2,36,71,6,0
235,16,20,15,12,6,0,0,0,21,35,6,0
236,8,10,8,4,0,0,0,0,6,11,5,0
237,25,65,79,152,242,452,734,410,22,50,7,0
238,21,46,107,237,470,319,293,136,18,40,7,0
239,22,52,128,294,610,372,321,139,18,41,7,0
240,16,19,20,15,10,2,0,0,34,64,5,0
241,18,20,16,6,0,0,0,0,32,61,5,0
242,17,20,16,6,0,0,0,0,33,62,5,0
243,35,55,92,149,160,43,0,0,28,62,6,0
244,31,38,37,22,12,4,0,0,40,88,7,0
245,17,15,10,7,4,2,0,0,42,76,5,0
246,7,9,8,5,9,14,13,0,39,58,6,0
247,4,17,0,8,0,16,0,8,28,48,5,0
248,4,22,10,20,4,16,0,8,29,52,5,0
249,28,57,100,208,332,394,438,511,30,67,8,0
250,17,18,12,8,4,0,0,0,14,26,5,0
251,28,27,19,14,8,2,0,0,32,60,5,0
252,13,22,24,41,52,42,40,14,35,66,6,0
253,5,17,18,22,41,71,108,39,24,40,7,0
254,16,14,8,6,3,0,0,0,17,30,5,0
255,20,20,13,12,6,0,0,0,18,33,6,0
256,17,17,9,4,2,0,0,0,16,29,5,0
257,16,14,6,0,0,0,0,0,19,36,6,0
258,16,14,6,0,0,0,0,0,19,35,6,0
259,24,23,2,0,0,0,0,0,21,42,7,0
260,35,56,79,132,168,137,97,26,23,52,7,0
261,20,26,19,10,0,0,0,0,25,51,6,0
262,27,33,25,10,0,0,0,0,27,60,6,0
263,18,22,22,9,0,0,0,0,24,48,6,0
264,20,24,13,10,8,4,0,0,24,49,6,0
265,19,23,25,24,26,28,24,12,32,61,7,0
266,23,24,18,16,18,20,16,8,31,59,7,0
267,32,50,82,150,258,196,165,104,33,71,8,0
268,29,47,84,159,270,204,169,104,34,73,8,0
269,20,19,13,6,5,2,0,0,32,60,6,0
270,36,50,60,87,90,100,108,64,32,70,6,0
271,11,34,42,52,42,36,40,20,44,78,6,0
272,27,43,56,41,2,0,0,0,40,84,7,0
273,6,14,0,12,0,8,0,8,40,73,6,0
274,11,9,3,2,2,0,0,0,38,61,6,0
275,13,15,4,8,0,8,0,4,30,56,7,0
276,6,14,0,12,0,8,0,8,38,70,6,0
277,19,33,30,74,75,136,142,16,44,85,6,0
278,8,15,10,39,26,38,55,0,60,107,6,0
279,14,13,9,5,1,0,0,0,28,51,5,0
280,23,30,28,20,8,0,0,0,16,32,7,0
281,4,16,7,9,17,14,10,0,50,86,6,0
282,2,13,4,8,0,16,0,0,52,87,5,0
283,2,13,4,8,0,16,0,0,48,78,5,0
284,2,13,4,8,0,16,0,0,50,84,5,0
285,35,38,30,33,32,20,6,0,42,82,6,0
286,42,40,32,25,20,16,8,0,43,83,7,0
287,39,40,30,23,20,16,8,0,41,79,7,0
288,22,33,58,102,176,277,396,394,39,80,6,0
289,14,12,9,8,7,6,5,3,38,74,6,0
290,6,32,26,32,12,20,24,16,62,104,6,0
291,6,32,26,32,12,20,24,16,60,100,6,0
292,0,0,0,2,0,0,0,0,96,109,6,0
293,11,30,18,30,56,100,150,108,54,99,6,0
294,2,2,0,3,6,10,10,12,124,139,5,0
295,0,2,2,2,0,0,0,0,126,141,5,0
296,5,3,5,16,23,32,45,37,122,149,7,0
297,28,36,54,101,193,321,489,526,24,51,6,0
298,11,8,3,0,0,0,0,0,41,74,5,0
299,11,40,21,42,9,30,12,4,49,93,7,0
300,18,23,55,100,123,106,148,91,44,89,7,1
301,17,29,54,95,134,55,76,62,42,84,8,1
302,14,23,56,98,142,84,80,53,41,83,7,1
303,12,22,40,69,94,31,38,30,42,82,8,1
304,16,30,49,80,112,60,80,71,46,93,7,1
305,14,15,11,23,24,40,91,95,55,98,6,1
306,12,22,35,63,103,55,71,25,50,92,6,1
307,12,22,40,69,94,31,38,30,42,82,8,1
308,27,31,56,68,47,47,56,30,48,94,8,1
309,10,19,28,46,72,122,188,237,51,99,8,1
310,15,37,58,138,200,264,241,190,24,50,6,1
311,28,15,12,14,24,26,10,2,51,89,7,1
312,19,34,28,39,37,47,48,8,52,96,8,1
313,10,15,14,13,15,16,16,4,22,38,5,1
314,27,72,107,208,387,677,1160,278,44,92,7,1
315,27,60,85,192,317,484,780,198,44,90,7,1
316,23,31,41,60,65,42,12,4,31,64,6,1
317,26,37,44,49,69,116,196,234,27,53,7,1
318,14,14,16,15,10,5,0,0,25,45,5,1
319,9,8,4,6,14,8,4,0,38,53,6,1
320,25,32,33,46,68,78,76,40,21,42,6,1
321,21,27,38,55,74,96,86,46,29,57,6,1
322,18,16,6,0,0,0,0,0,20,37,5,1
323,16,14,4,0,0,0,0,0,21,37,5,1
324,16,41,43,111,183,272,176,86,50,98,7,1
325,28,41,84,167,238,373,346,76,46,96,7,1
326,21,31,33,71,84,150,203,82,49,94,5,1
327,12,8,5,4,2,0,0,0,27,49,5,1
328,14,16,11,4,2,0,0,0,12,22,6,1
329,12,33,34,38,24,32,8,8,14,26,7,1
330,31,37,59,114,191,281,322,235,23,48,7,1
331,34,44,69,120,183,251,279,186,24,51,7,1
332,22,22,17,13,6,2,0,0,33,61,5,1
333,25,31,33,34,24,14,6,0,27,51,6,1
334,28,37,45,75,133,220,346,331,25,51,6,1
335,19,22,26,29,36,50,75,96,28,52,5,1
336,19,23,23,16,11,4,0,0,28,54,6,1
337,14,15,10,10,8,4,0,0,12,22,6,1
338,20,25,23,20,21,19,14,6,26,49,5,1
339,20,25,20,16,8,8,16,16,28,49,6,1
340,21,20,13,9,4,0,0,0,28,54,5,1
341,17,18,23,39,50,52,36,12,26,49,5,1
342,16,16,13,12,10,8,4,0,24,45,5,1
343,14,13,8,8,8,4,0,0,23,39,5,1
344,36,49,56,76,122,162,198,158,27,58,6,1
345,12,9,5,2,0,0,0,0,39,67,5,1
346,20,38,73,160,324,624,946,639,42,87,6,1
347,23,44,63,148,317,634,1015,692,42,85,6,1
348,18,17,29,63,119,217,218,115,64,118,8,1
349,19,21,31,50,44,40,62,117,38,71,6,1
350,13,26,22,34,36,36,24,12,22,42,6,1
351,0,0,0,0,0,0,0,0,9,8,3,1
352,28,32,41,40,22,10,5,0,26,51,7,1
353,17,37,80,196,474,1006,1552,517,19,42,7,1
354,4,8,3,3,3,7,9,8,66,112,6,1
355,35,55,83,98,81,46,5,0,27,56,7,1
356,5,15,11,11,4,20,10,0,34,62,6,1
357,19,33,40,55,46,45,44,21,28,56,6,1
358,7,19,20,48,27,27,16,8,26,46,5,1
359,19,43,76,112,138,145,114,56,26,54,7,1
360,18,41,61,130,144,82,65,16,28,59,6,1
361,27,37,45,57,86,153,254,169,19,41,6,1
362,30,55,76,79,72,56,52,32,20,46,6,1
363,31,63,131,264,445,728,1291,859,20,49,7,1
364,4,24,16,22,16,20,24,8,42,75,6,1
365,4,24,16,22,16,20,24,8,42,76,6,1
366,6,13,4,10,8,16,4,0,15,25,5,1
367,6,12,8,10,12,12,12,8,11,19,5,1
368,4,14,6,12,12,8,8,0,10,17,5,1
369,10,30,38,52,44,56,72,64,12,24,6,1
370,7,23,16,43,43,70,73,48,30,52,6,1
371,6,12,12,32,28,24,16,8,15,26,5,1
372,14,22,20,24,24,24,16,0,10,20,5,1
373,14,27,32,48,58,56,60,21,18,34,6,1
374,12,28,30,38,48,69,68,30,22,40,6,1
375,6,19,14,20,24,32,40,16,12,22,5,1
376,29,34,31,32,30,34,54,97,36,70,6,1
377,5,22,13,37,33,53,56,43,30,51,6,1
378,7,23,16,43,43,70,73,48,30,52,6,1
379,18,26,22,32,24,36,36,24,36,61,5,1
380,16,15,9,5,4,2,0,0,33,58,5,1
381,22,30,33,51,94,120,151,147,48,94,7,1
382,23,32,38,51,61,66,72,54,27,52,6,1
383,25,34,42,57,61,64,54,21,27,54,6,1
384,10,22,8,20,24,32,16,0,16,29,5,1
385,11,16,18,16,8,0,0,0,7,14,6,1
386,11,11,12,11,16,27,27,18,16,28,6,1
387,21,32,49,65,90,131,197,111,35,64,7,1
388,25,30,22,11,4,0,0,0,28,55,6,1
389,32,42,43,32,17,16,16,16,40,81,6,1
390,18,20,15,5,0,0,0,0,26,51,5,1
391,10,27,30,30,40,36,44,24,48,89,7,1
392,16,16,12,8,5,4,2,0,15,28,5,1
393,15,19,18,15,14,14,16,12,11,22,6,1
394,17,38,80,188,382,716,1132,865,50,98,7,1
395,16,18,28,44,51,69,127,184,18,35,6,1
396,19,29,40,46,54,92,207,321,19,39,6,1
397,4,15,2,12,4,12,8,8,14,23,5,1
398,24,35,39,49,58,80,103,111,21,43,6,1
399,3,18,15,25,29,19,30,10,37,58,6,1
400,27,39,72,158,271,311,142,0,48,97,7,2
401,20,35,23,12,18,16,12,0,25,51,7,2
402,18,40,51,38,42,44,36,60,28,57,6,2
403,4,17,2,12,0,16,0,8,33,56,5,2
404,4,20,4,20,8,24,8,0,29,50,5,2
405,13,25,28,24,17,30,32,12,33,64,6,2
406,16,36,38,79,64,126,256,410,30,60,5,2
407,27,46,44,50,26,30,64,36,33,66,8,2
408,13,27,24,32,20,38,54,42,32,60,6,2
409,31,42,52,52,49,41,37,22,28,62,7,2
410,8,26,8,20,4,16,8,8,37,69,6,2
411,15,23,10,16,8,20,16,8,36,68,6,2
412,13,38,31,46,22,46,24,8,38,79,7,2
413,22,26,23,20,19,24,14,1,37,73,7,2
414,23,55,86,187,300,579,522,562,34,76,6,2
415,14,25,6,22,2,16,0,4,24,46,6,2
416,7,25,1,22,0,24,0,8,25,47,5,2
417,17,19,16,8,0,0,0,0,41,76,5,2
418,11,17,4,14,4,8,0,8,27,51,7,2
419,3,16,0,14,0,8,0,8,26,47,6,2
420,17,26,16,23,14,14,12,2,25,49,6,2
421,22,43,60,83,64,68,46,12,27,57,7,2
422,11,28,35,49,66,121,122,61,20,38,5,2
423,12,24,32,59,118,103,15,16,40,66,7,2
424,6,24,13,47,50,84,56,36,21,39,6,2
425,20,18,8,4,0,0,0,0,19,33,5,2
426,40,36,16,8,0,0,0,0,36,64,5,2
427,7,10,4,10,4,4,6,4,32,57,6,2
428,17,26,27,47,30,42,48,15,28,54,6,2
429,7,25,42,40,8,6,0,0,37,57,7,2
430,25,32,25,16,11,10,8,4,18,37,6,2
431,25,33,30,26,20,14,6,0,19,39,5,2
432,29,36,36,47,67,91,98,62,22,46,6,2
433,11,6,4,0,0,0,0,0,43,70,5,2
434,14,30,41,66,98,123,198,112,24,46,7,2
435,20,33,54,91,145,202,213,153,15,33,7,2
436,6,10,10,8,12,8,6,4,14,23,5,2
437,34,54,95,172,304,430,303,79,48,99,9,2
438,35,67,146,304,583,917,460,116,46,99,9,2
439,14,35,39,68,98,143,241,62,26,50,7,2
440,33,54,90,150,218,229,421,213,25,56,8,2
441,36,65,135,211,213,271,140,41,44,95,9,2
442,17,30,49,70,98,119,72,39,39,76,7,2
443,21,39,72,93,69,13,20,52,39,79,8,2
444,14,35,38,61,71,97,153,79,27,51,8,2
445,28,59,107,149,202,233,348,178,26,58,7,2
446,28,58,109,178,190,205,293,153,25,56,7,2
447,14,27,32,52,60,107,98,83,39,73,7,2
448,26,53,95,164,201,195,288,155,26,57,7,2
449,32,54,96,167,240,242,361,190,26,58,8,2
450,19,28,40,53,57,60,58,98,26,51,6,2
451,9,8,11,11,20,24,14,3,34,54,5,2
452,22,40,80,177,401,806,552,257,20,45,7,2
453,13,31,42,69,84,95,88,50,20,39,8,2
454,10,30,27,61,74,108,102,28,19,37,6,2
455,7,26,20,43,45,66,55,14,18,34,5,2
456,3,10,7,2,0,0,0,0,33,42,6,2
457,11,27,28,45,46,49,48,12,15,29,6,2
458,27,59,113,253,339,599,927,1116,34,77,7,2
459,27,56,110,257,663,1516,1961,985,28,65,7,2
460,48,81,161,360,773,1603,3081,3062,34,79,8,2
461,15,29,34,45,50,63,70,16,15,30,6,2
462,13,19,19,18,17,17,19,6,14,26,5,2
463,22,40,80,177,401,806,552,257,20,45,7,2
464,23,28,40,65,107,204,311,201,52,99,6,2
465,10,29,28,58,84,109,124,46,20,38,6,2
466,16,36,54,106,183,298,440,440,20,41,6,2
467,8,32,30,56,58,76,36,20,20,37,6,2
468,13,11,4,0,0,0,0,0,17,30,5,2
469,16,20,19,16,15,14,14,8,12,24,6,2
470,3,15,11,28,18,30,12,6,24,37,5,2
471,62,82,90,112,153,210,192,88,46,93,6,2
472,18,23,21,14,8,4,0,0,13,26,6,2
473,20,27,21,36,41,26,16,16,24,45,7,2
474,13,15,14,15,14,12,12,8,12,23,5,2
475,19,32,38,30,12,0,0,0,12,24,5,2
476,16,19,15,10,4,0,0,0,14,26,5,2
477,9,30,36,63,90,139,137,55,20,38,6,2
478,4,22,8,22,24,42,46,38,28,49,4,2
479,5,18,14,32,34,40,20,8,24,38,5,2
480,17,20,16,12,4,0,0,0,12,24,6,2
481,6,19,10,16,10,12,6,4,26,44,5,2
482,19,45,41,30,16,16,28,8,22,46,6,2
483,4,5,6,3,8,8,4,0,60,80,6,2
484,18,41,34,72,152,300,494,166,39,72,7,2
485,16,51,70,103,42,74,52,20,26,51,6,2
486,17,16,8,6,0,0,0,0,15,27,6,2
487,16,15,8,4,0,0,0,0,25,42,5,2
488,11,10,6,3,1,0,0,0,35,61,5,2
489,17,17,12,4,0,0,0,0,35,67,6,2
490,21,22,14,6,0,0,0,0,38,70,5,2
491,31,37,38,48,63,50,15,0,38,79,7,2
492,25,29,30,29,14,0,0,0,33,68,6,2
493,16,17,15,11,5,0,0,0,32,61,5,2
494,18,19,10,0,0,0,0,0,42,77,6,2
495,10,9,5,1,0,0,0,0,42,76,6,2
496,12,15,19,25,34,31,19,8,41,78,5,2
497,17,12,2,0,0,0,0,0,40,72,5,2
498,30,35,36,31,37,48,48,38,38,76,7,2
499,40,48,81,156,247,369,378,100,43,98,6,2
500,2,16,12,40,24,73,35,62,67,80,6,3
501,24,32,49,93,147,184,200,114,36,73,6,3
502,30,46,18,37,40,88,96,28,46,83,6,3
503,0,29,0,41,0,65,0,39,66,120,7,3
504,23,30,40,47,53,62,61,30,21,43,6,3
505,26,46,74,115,193,316,455,286,22,49,6,3
506,27,45,70,92,114,117,108,75,21,46,6,3
507,27,49,92,159,268,422,598,622,21,48,6,3
508,17,42,69,146,288,531,745,208,41,88,6,3
509,36,61,93,69,39,38,77,56,29,65,7,3
510,34,39,37,44,74,107,79,38,30,67,7,3
511,36,42,38,44,74,107,79,38,30,68,7,3
512,27,38,62,130,283,566,822,531,41,92,6,3
513,43,65,82,119,243,523,873,594,37,88,7,3
514,23,29,45,92,189,366,613,439,26,51,7,3
515,20,23,19,10,2,0,0,0,37,71,6,3
516,2,13,2,14,6,4,12,0,50,89,5,3
517,23,25,36,74,172,331,471,299,27,56,5,3
518,35,59,99,97,83,107,94,70,34,77,7,3
519,36,64,107,122,88,77,88,70,32,74,7,3
520,36,64,107,122,88,77,88,70,35,79,7,3
521,35,59,99,97,83,107,94,70,37,82,7,3
522,24,60,79,165,208,394,657,773,48,111,6,3
523,14,14,11,6,1,0,0,0,41,74,5,3
524,31,39,51,78,130,180,228,51,29,66,7,3
525,14,20,14,28,46,91,147,241,58,110,7,3
526,17,17,23,32,41,69,97,54,57,107,8,3
527,34,69,151,365,742,933,884,372,21,53,7,3
528,25,50,110,240,507,853,756,406,18,43,7,3
529,19,26,19,27,29,44,124,68,42,83,5,3
530,18,32,54,68,86,94,212,108,40,82,5,3
