dataset iteration patterns bound bound_std
Cora 1 1-WL 3.6089698909573427 0.0011870512026855853
PubMed 1 triangle,4-clique,5-clique,6-clique 0.36591093538400443 0.04417670106155819
PubMed 2 1-WL 0.30369409383074003 0.016203947162955645
PubMed 2 2-path,3-path,4-path,5-path 0.9523561651933568 0.0038589605141393403
PubMed 2 triangle,4-cycle,5-cycle,6-cycle 1.3280174325015686 0.018331453657941536
PubMed 2 triangle,4-clique,5-clique,6-clique 0.8556098410508719 0.03990369051686725
PubMed 3 1-WL 0.7857393698822766 0.05105195600379273
PubMed 3 2-path,3-path,4-path,5-path 0.9523561651933568 0.0038589605141393403
PubMed 3 triangle,4-cycle,5-cycle,6-cycle 1.3280174325015686 0.018331453657941536
PubMed 3 triangle,4-clique,5-clique,6-clique 1.227322654790021 0.025947788346498597
PubMed 4 1-WL 1.1983927676254913 0.019755114110960863
PubMed 4 2-path,3-path,4-path,5-path 0.9523561651933568 0.0038589605141393403
PubMed 4 triangle,4-cycle,5-cycle,6-cycle 1.3280174325015686 0.018331453657941536
PubMed 4 triangle,4-clique,5-clique,6-clique 1.5247562652198108 0.032381961502733175
PubMed 5 1-WL 1.5186733205142169 0.01742846266654138
PubMed 5 2-path,3-path,4-path,5-path 0.9523561651933568 0.0038589605141393403
PubMed 5 triangle,4-cycle,5-cycle,6-cycle 1.3280174325015686 0.018331453657941536
PubMed 5 triangle,4-clique,5-clique,6-clique 1.7831881125438396 0.03235560838748758
PubMed 6 1-WL 1.5186733205142169 0.01742846266654138
PubMed 6 2-path,3-path,4-path,5-path 0.9523561651933568 0.0038589605141393403
PubMed 6 triangle,4-cycle,5-cycle,6-cycle 1.3280174325015686 0.018331453657941536
PubMed 6 triangle,4-clique,5-clique,6-clique 1.7831881125438396 0.03235560838748758
